E,78
discurso,22
extremos,8
continua,8
TV,11
muita,17
desonestidade,6
intelectual.,6
Vou,9
repetir.,6
Bolsonazi,6
extremo.,6
Haddad,912
não.,6
Bozo,69
defende,6
torturadores,6
volta,16
ditadura.,6
democrata.,6
O,542
querem,40
falsa,6
polarização,6
?,6
gente,62
votar,218
12,21
principalmente,2
questão,7
segurança,3
ficar,13
alimentando,2
rejeição,138
PT,137
pq,59
haddad,308
pro,168
segundo,324
turno,404
nele,15
vamos,37
segurar,2
Projeção,7
Ibope,170
empate:,6
Jair,23
Bolsonaro,316
42,116
Fernando,19
Haddad.,26
Guardem,18
bem,36
hoje,93
absurdamente,20
irreal:,18
31%,22
21%,20
Daqui,18
6,29
dias,44
urnas,19
abertas,18
ver,42
frente,27
empatado.,18
Reviravolta,18
relâmpago,18
Nâo,18
Mais,19
emblemático,18
manipulação,21
mafiosa,18
Globo,19
parceria,18
Nenhum,21
PETISTA,21
deixar,23
HADDAD,192
causa,25
delação,129
PALOCCI.,21
Eles,23
defendem,21
bandidos.,21
A,178
esperança,25
finalmente,21
eleitores,121
ALCKMIN,26
AMOÊDO,21
ÁLVARO,21
DIAS,26
MEIRELLES,21
percebam,21
precisamos,22
eleger,25
BOLSONARO,34
1,119
turno!,24
Essa,24
QUADRILHA,21
pode,45
voltar!,21
Confesso,3
surpreendi,3
Bolha,3
foda..,3
Mas,37
preocupados,3
atacar,11
campanha,35
negativa,4
est,94
surtindo,3
efeito,11
T,24
hora,21
começar,5
realmente,9
importa,5
Partir,3
enfrentamento.,3
mano,17
vcs,83
malucos,4
entregar,9
eleição,32
bozo,60
NÃO,86
LULA,12
CHEGA,7
OS,4
PÉS,4
DELE,5
ÍNDICE,4
ANTI,4
PTISTA,4
NO,269
PAÍS,6
GIGANTE,4
ISSO,4
DA,89
VANTAGEM,4
PRO,13
BOZO,68
ciro,178
opção,11
segura,5
PORRA,208
RAPEIZE,4
Se,149
voc,81
pensa,72
Palocci,114
menos,100
pare,71
fingir,70
",71
democracia",70
Voc,72
mínima,71
pra,268
negócio.,70
aponta,2
empate,14
eventual,19
empata,19
perde,50
Ciro,301
2,205
#UOLnasUrnas,10
“to,1
votando,14
quero,11
VAI,91
CONTINUAR,1
MESMA,2
MERDA,14
QUE,159
PQ,4
QUEM,2
CONTROLA,1
VOTA,4
CIRO,260
TEM,10
